name,drop_idx,drop_feature,group,n_features,n_params,n_seeds,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_pr_auc,std_pr_auc,delta_f1m_vs_baseline,delta_pr_vs_baseline
baseline_27dim,,,,27,74969,5,0.8205129608777384,0.005210612960798316,0.8125213371952174,0.8267954843613463,0.9051610495690989,0.005002895156922287,0.0,0.0
loo_00_drop_address,0.0,address,v1_raw,26,74713,5,0.8086300232938133,0.012942540254414879,0.7850575311712428,0.8222856251253817,0.9033702472731807,0.004368750831223921,-0.011882937583925113,-0.0017908022959182146
loo_01_drop_function,1.0,function,v1_raw,26,74713,5,0.8201117988591454,0.006411511027446106,0.8100769620990251,0.8275375121752957,0.9064963788625612,0.005229354058550333,-0.00040116201859297096,0.0013353292934622507
loo_02_drop_length,2.0,length,v1_raw,26,74713,5,0.8256471320649688,0.007164794301929993,0.8128046236936858,0.8349264595008895,0.9079311101460552,0.0038517084615594726,0.005134171187230363,0.002770060576956279
loo_03_drop_setpoint,3.0,setpoint,v1_raw,26,74713,5,0.82077896850587,0.011927770489151841,0.7987643168820473,0.8341808233544494,0.9027223993834497,0.006870097952405575,0.0002660076281315593,-0.0024386501856492604
loo_04_drop_gain,4.0,gain,v1_raw,26,74713,5,0.8198231035576657,0.005685573439758842,0.811452658236284,0.8287399204135394,0.8981919261890811,0.008602809798269963,-0.000689857320072651,-0.006969123380017872
loo_05_drop_reset_rate,5.0,reset rate,v1_raw,26,74713,5,0.814254594149044,0.008142161758224624,0.7989452421308046,0.8225990475985084,0.9004232292763683,0.0033066489542303954,-0.006258366728694398,-0.004737820292730621
loo_06_drop_deadband,6.0,deadband,v1_raw,26,74713,5,0.8162393822600755,0.011952980428602994,0.8014035533561479,0.8357552236284975,0.8997301038933234,0.004589004384348382,-0.004273578617662865,-0.0054309456757755115
loo_07_drop_cycle_time,7.0,cycle time,v1_raw,26,74713,5,0.8059227839980411,0.005242924089328254,0.7982256487411623,0.8120451047936166,0.8983426429117897,0.0031116168593814737,-0.014590176879697325,-0.006818406657309262
loo_08_drop_rate,8.0,rate,v1_raw,26,74713,5,0.7979775244524383,0.0073996081116154315,0.7896311189025511,0.8105164612264004,0.8961669445211913,0.004249377582204545,-0.022535436425300093,-0.008994105047907652
loo_09_drop_system_mode,9.0,system mode,v1_raw,26,74713,5,0.8139021699936535,0.0136263325750616,0.7878073719387502,0.8237553664231378,0.9022983956794978,0.008964821253184204,-0.006610790884084894,-0.0028626538896011633
loo_10_drop_control_scheme,10.0,control scheme,v1_raw,26,74713,5,0.8157875236376771,0.011071188434908459,0.8043301769606723,0.8350876357462385,0.9040808625921184,0.005196631315140587,-0.004725437240061248,-0.001080186976980535
loo_11_drop_pump,11.0,pump,v1_raw,26,74713,5,0.8065530292845503,0.014271288553813299,0.77843862455018,0.8153409090909092,0.9062401751034127,0.008555690272116378,-0.01395993159318809,0.001079125534313774
loo_12_drop_solenoid,12.0,solenoid,v1_raw,26,74713,5,0.8188267710084354,0.006306907649485041,0.8115918185297666,0.8284114832315068,0.9072233891925757,0.0033673790993216904,-0.001686189869303023,0.0020623396234767943
loo_13_drop_pressure_measurement,13.0,pressure measurement,v1_raw,26,74713,5,0.6878956016823103,0.023717886424915357,0.6571127547297768,0.71532646440899,0.8036080228687043,0.013249858660496846,-0.13261735919542805,-0.10155302670039468
loo_14_drop_crc_rate,14.0,crc rate,v1_raw,26,74713,5,0.8146730344495634,0.007809240288068093,0.8056442271993923,0.8277582012362077,0.9008441404588595,0.0028852702714536748,-0.005839926428174991,-0.004316909110239409
loo_15_drop_time_diff,15.0,time_diff,v1_raw,26,74713,5,0.8170796145773387,0.008862521867932788,0.8045870213702382,0.8300207477664394,0.9011937661861482,0.005166171046488518,-0.003433346300399709,-0.003967283382950715
loo_16_drop_time_since_last_same_addr_func,16.0,time_since_last_same_addr_func,v2_row,26,74713,5,0.812085052642454,0.01081414501924035,0.7962382445141065,0.8271713467259392,0.9022498293188483,0.004316101582227822,-0.008427908235284387,-0.00291122025025059
loo_17_drop_is_unusual_fc,17.0,is_unusual_fc,v2_row,26,74713,5,0.8188231750853301,0.00414459280059179,0.8147039858448739,0.8258427124406507,0.9039355711867385,0.004889058111183962,-0.0016897857924083048,-0.0012254783823604232
loo_18_drop_is_response,18.0,is_response,v2_row,26,74713,5,0.8167794769387522,0.006726508841219132,0.8095744345636458,0.8279569745299756,0.9035390265443359,0.003920467214846671,-0.003733483938986204,-0.0016220230247629974
loo_19_drop_press_mean_w,19.0,press_mean_w,v2_window,26,74713,5,0.8240303675325628,0.009973880640686182,0.8112298831015474,0.8375249362407609,0.8980633366341685,0.008978948673823237,0.003517406654824362,-0.007097712934930445
